PERMNO,date,vwretd
10107,1992-06-24,-0.001138
10107,1992-06-25,-0.001575
10107,1992-06-26,0.000723
10107,1992-06-29,0.013168
10107,1992-06-30,0.001630
10107,1992-07-01,0.010085
10107,1992-07-02,-0.002419
10107,1992-07-06,0.004066
10107,1992-07-07,-0.009928
10107,1992-07-08,0.001544
10107,1992-07-09,0.009397
10107,1992-07-10,0.002065
10107,1992-07-13,0.001621
10107,1992-07-14,0.006365
10107,1992-07-15,-0.000692
10107,1992-07-16,0.000977
10107,1992-07-17,-0.004957
10107,1992-07-20,-0.004796
10107,1992-07-21,0.001226
10107,1992-07-22,-0.006405
10107,1992-07-23,0.002420
10107,1992-07-24,-0.000374
10107,1992-07-27,0.000460
10107,1992-07-28,0.012868
10107,1992-07-29,0.010273
10107,1992-07-30,0.003703
10107,1992-07-31,0.001840
10107,1992-08-03,0.002296
10107,1992-08-04,-0.000991
10107,1992-08-05,-0.004968
10107,1992-08-06,-0.003484
10107,1992-08-07,-0.002138
10107,1992-08-10,0.000168
10107,1992-08-11,-0.001202
10107,1992-08-12,-0.003152
10107,1992-08-13,0.000398
10107,1992-08-14,0.004852
10107,1992-08-17,0.001964
10107,1992-08-18,0.000837
10107,1992-08-19,-0.006133
10107,1992-08-20,-0.000376
10107,1992-08-21,-0.007051
10107,1992-08-24,-0.010951
10107,1992-08-25,0.000546
10107,1992-08-26,0.004814
10107,1992-08-27,0.002197
10107,1992-08-28,0.002434
10107,1992-08-31,-0.001002
10107,1992-09-01,0.004349
10107,1992-09-02,0.005338
10107,1992-09-03,0.001435
10107,1992-09-04,-0.001881
10107,1992-09-08,-0.005564
10107,1992-09-09,0.003931
10107,1992-09-10,0.008037
10107,1992-09-11,0.000205
10107,1992-09-14,0.013743
10107,1992-09-15,-0.010773
10107,1992-09-16,-0.000823
10107,1992-09-17,0.000305
10107,1992-09-18,0.005143
10107,1992-09-21,-0.001371
10107,1992-09-22,-0.010043
10107,1992-09-23,-0.000416
10107,1992-09-24,0.003435
10107,1992-09-25,-0.010147
10107,1992-09-28,0.002974
10107,1992-09-29,0.000966
10107,1992-09-30,0.003642
10107,1992-10-01,-0.004258
10107,1992-10-02,-0.012346
10107,1992-10-05,-0.007906
10107,1992-10-06,0.001582
10107,1992-10-07,-0.005360
10107,1992-10-08,0.007877
10107,1992-10-09,-0.010083
10107,1992-10-12,0.009071
10107,1992-10-13,0.004530
10107,1992-10-14,0.000253
10107,1992-10-15,0.000912
10107,1992-10-16,0.004334
10107,1992-10-19,0.008913
10107,1992-10-20,0.001843
10107,1992-10-21,0.001445
10107,1992-10-22,-0.001529
10107,1992-10-23,-0.001110
10107,1992-10-26,0.008032
10107,1992-10-27,0.000672
10107,1992-10-28,0.004809
10107,1992-10-29,0.002814
10107,1992-10-30,-0.003089
10107,1992-11-02,0.007903
10107,1992-11-03,-0.004744
10107,1992-11-04,-0.004687
10107,1992-11-05,0.004478
10107,1992-11-06,0.000003
10107,1992-11-09,0.003186
10107,1992-11-10,0.001500
10107,1992-11-11,0.008490
10107,1992-11-12,0.000909
10107,1992-11-13,-0.000173
10107,1992-11-16,-0.003264
10107,1992-11-17,-0.003991
10107,1992-11-18,0.007952
10107,1992-11-19,0.002514
10107,1992-11-20,0.006691
10107,1992-11-23,-0.002786
10107,1992-11-24,0.005780
10107,1992-11-25,0.003950
10107,1992-11-27,0.002414
10107,1992-11-30,0.003566
10107,1992-12-01,-0.000414
10107,1992-12-02,-0.001787
10107,1992-12-03,0.000825
10107,1992-12-04,0.005063
10107,1992-12-07,0.006344
10107,1992-12-08,0.003187
10107,1992-12-09,-0.002866
10107,1992-12-10,-0.002946
10107,1992-12-11,-0.001572
10107,1992-12-14,-0.001608
10107,1992-12-15,-0.001859
10107,1992-12-16,-0.003274
10107,1992-12-17,0.008798
10107,1992-12-18,0.010609
10107,1992-12-21,-0.000687
10107,1992-12-22,-0.000409
10107,1992-12-23,-0.001197
10107,1992-12-24,0.002033
10107,1992-12-28,-0.000755
10107,1992-12-29,-0.000267
10107,1992-12-30,0.002178
10107,1992-12-31,-0.001406
10107,1993-01-04,-0.002615
10107,1993-01-05,-0.001476
10107,1993-01-06,0.001454
10107,1993-01-07,-0.007372
10107,1993-01-08,-0.003886
10107,1993-01-11,0.004118
10107,1993-01-12,0.000159
10107,1993-01-13,0.004877
10107,1993-01-14,0.007283
10107,1993-01-15,0.003704
10107,1993-01-18,0.000170
10107,1993-01-19,-0.002324
10107,1993-01-20,-0.002283
10107,1993-01-21,0.004059
10107,1993-01-22,0.002733
10107,1993-01-25,0.007559
10107,1993-01-26,0.000706
10107,1993-01-27,-0.005278
10107,1993-01-28,0.000013
10107,1993-01-29,0.001104
10107,1993-02-01,0.008210
10107,1993-02-02,0.001565
10107,1993-02-03,0.009288
10107,1993-02-04,0.005630
10107,1993-02-05,-0.002800
10107,1993-02-08,-0.001772
10107,1993-02-09,-0.006301
10107,1993-02-10,0.002269
10107,1993-02-11,0.002945
10107,1993-02-12,-0.005654
10107,1993-02-16,-0.025862
10107,1993-02-17,-0.003965
10107,1993-02-18,-0.001383
10107,1993-02-19,0.004327
10107,1993-02-22,-0.001215
10107,1993-02-23,-0.000278
10107,1993-02-24,0.013808
10107,1993-02-25,0.004025
10107,1993-02-26,0.003159
10107,1993-03-01,-0.001302
10107,1993-03-02,0.011548
